Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
04.02.2017 23:00;-19.1;724.6;774.7;;83;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;-21.3;;;;;;
05.02.2017 5:00;-21.2;723.7;774.1;;82;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-23.5;;;;;;
05.02.2017 11:00;-15.5;722.8;772.0;;86;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-17.4;;;;;;
05.02.2017 17:00;-10.4;724.3;772.6;;70;Ветер, дующий с юга;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-14.9;;;;;;
06.02.2017 5:00;-13.3;730.4;779.7;;89;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;50%.;300-600;;;10.0;-14.8;;;;;;
06.02.2017 11:00;-12.8;733.3;782.8;;87;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;20–30%.;300-600;;;;-14.5;;;;;;
06.02.2017 17:00;-10.1;734.2;783.2;;65;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;;;;;;-15.5;;;;;;
06.02.2017 23:00;-19.4;735.9;786.8;;84;Ветер, дующий с востока;3;;;100%.; ;;;;;;;;;;;-21.5;;;;;;
07.02.2017 5:00;-23.0;736.2;787.9;;80;Ветер, дующий с востока;3;;;100%.; ;;;;;;;;;;;-25.5;;;;;;
07.02.2017 11:00;-21.3;737.3;788.8;;80;Штиль, безветрие;0;;;60%.; ;;;;;;40%.;;;;;-23.8;;;;;;
07.02.2017 17:00;-11.9;735.1;784.5;;66;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;;;;;;;-17.0;;;;;;
07.02.2017 23:00;-20.2;734.7;785.7;;85;Ветер, дующий с востока;3;;;70 – 80%.; ;;;;;;;;;;;-22.1;;;;;;
08.02.2017 5:00;-24.4;733.5;785.3;;78;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;;;;;;;;-27.1;;;;;;
08.02.2017 11:00;-17.8;733.2;783.6;;83;Ветер, дующий с востока;1;;;10%  или менее, но не 0; ;;;;;;;;;;;-20.0;;;;;;
