Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.02.2017 8:00;-16.1;730.0;;;90;Ветер, дующий с юго-востока;1;;;40%.; ;;;-16.5;;;;;;;50.0;;;;;;;
14.02.2017 14:00;-12.6;730.0;;;85;Ветер, дующий с юго-запада;1;;;60%.; ;;;;;;;;;;50.0;;;;;;;
14.02.2017 20:00;-15.4;729.0;;;85;Ветер, дующий с севера;2;;;60%.; ;;;;-12.6;;;;;;;;;;;;;
15.02.2017 2:00;-19.6;728.0;;;90;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
15.02.2017 8:00;-21.3;728.0;;;90;Ветер, дующий с востока;1;;;100%.; ;;;-22.2;;;;;;;50.0;;;;;;;
15.02.2017 14:00;-15.1;729.0;;;75;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
15.02.2017 20:00;-16.7;730.0;;;70;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;-15.1;;;;;;;;;;;;;
16.02.2017 2:00;-15.1;731.0;;;65;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;;;;;;;;;;;;
16.02.2017 8:00;-17.8;732.0;;;70;Ветер, дующий с юго-востока;3;;;100%.; ;;;-18.5;;;;;;;50.0;;;;;;;
16.02.2017 14:00;-14.5;732.0;;;65;Ветер, дующий с юго-востока;4;;;40%.; ;;;;;;;;;;50.0;;;;;;;
16.02.2017 20:00;-19.0;732.0;;;32;Ветер, дующий с юго-востока;4;;;20–30%.; ;;;;-14.5;;;;;;;;;;;;;
17.02.2017 2:00;-17.4;730.0;;;70;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
17.02.2017 8:00;-23.2;729.0;;;80;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-23.9;;;;;;;50.0;;;;;;;
17.02.2017 14:00;-16.9;729.0;;;65;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
17.02.2017 20:00;-20.9;727.0;;;75;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;-16.9;;;;;;;;;;;;;
18.02.2017 2:00;-20.4;722.0;;;85;Ветер, дующий с северо-востока;4;;;40%.; ;;;;;;;;;;;;;;;;;
18.02.2017 8:00;-20.7;717.0;;;85;Ветер, дующий с севера;5;;;100%.; ;;;-21.3;;;;;;;50.0;;;;;;;
18.02.2017 14:00;-17.0;716.0;;;75;Ветер, дующий с северо-востока;4;;;100%.; ;;;;;;;;;;50.0;;;;;;;
18.02.2017 20:00;-16.3;721.0;;;85;Ветер, дующий с юга;2;;;100%.; ;;;;-16.3;;;;;;;;Следы осадков;;;;;
19.02.2017 2:00;-17.8;724.0;;;85;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
19.02.2017 8:00;-15.9;727.0;;;75;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;-18.4;;;;;;;50.0;;Следы осадков;;;;;
19.02.2017 14:00;-12.8;729.0;;;80;Ветер, дующий с юга;7;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
19.02.2017 20:00;-16.1;728.0;;;85;Ветер, дующий с юга;6;;;Облаков нет.; ;;;;-12.8;;;;;;;;;;;;;
20.02.2017 2:00;-17.4;728.0;;;90;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
20.02.2017 8:00;-19.2;726.0;;;80;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;-20.5;;;;;;;50.0;;;;;;;
20.02.2017 14:00;-15.4;726.0;;;75;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
20.02.2017 20:00;;726.0;;;;Ветер, дующий с юго-востока;1;;;40%.; ;;;;-15.4;;;;;;;;;;;;;
